t_ms,activity,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
0,eyes_open,2600,2592,242,970,13,826,15,23,1.0082,0.0184,-0.0419,0.0126,-0.015,-0.079,9.86
20,eyes_open,2600,2589,236,977,13,847,18,17,1.0094,-0.0158,0.0063,0.0033,-0.056,-0.061,9.801
40,eyes_open,2598,2614,238,969,19,813,17,14,1.0032,0.0093,-0.0068,-0.0029,-0.046,0.024,9.825
60,eyes_open,2627,2601,240,989,12,773,14,8,0.997,0.0084,0.0011,0.0141,0.003,-0.077,9.832
80,eyes_open,2644,2563,249,989,20,785,15,18,0.9934,0.0156,-0.0102,-0.0211,-0.054,-0.147,9.816
100,eyes_open,2626,2569,254,968,24,781,16,14,0.9979,0.0535,0.0231,0.0156,-0.015,-0.195,9.864
120,eyes_open,2656,2545,248,966,19,751,11,19,1.0095,-0.0127,0.0289,0.0026,-0.043,-0.039,9.836
140,eyes_open,2645,2547,251,963,21,737,16,10,0.9988,0.0209,-0.0176,0.0105,-0.067,-0.036,9.79
160,eyes_open,2658,2614,246,951,9,735,14,6,1.0005,0.0163,0.0092,-0.0238,-0.031,-0.031,9.788
180,eyes_open,2657,2568,242,943,15,738,13,17,0.9973,0.0067,0.0168,-0.0075,-0.083,-0.012,9.782
200,eyes_open,2710,2555,233,946,10,729,15,6,0.9833,-0.0335,-0.0448,0.0031,-0.014,-0.016,9.865
220,eyes_open,2703,2566,244,984,10,742,8,19,1.0034,-0.0151,0.0132,0.0099,-0.018,-0.034,9.842
240,eyes_open,2681,2527,244,928,10,713,16,14,1.0044,0.0081,-0.0186,-0.0058,0.007,-0.007,9.831
260,eyes_open,2669,2558,238,967,13,737,19,20,1.0119,-0.016,-0.0464,0.0001,0.061,-0.042,9.808
280,eyes_open,2706,2546,246,925,19,722,16,17,1.0026,-0.0054,0.0038,-0.0298,0.055,-0.062,9.785
300,eyes_open,2656,2569,241,970,5,730,11,25,0.9901,-0.0053,0.021,0.0177,0.042,0.021,9.838
320,eyes_open,2660,2589,246,956,19,723,14,21,0.9997,0.007,0.0349,-0.0003,0.067,-0.006,9.811
340,eyes_open,2646,2537,240,939,6,764,16,17,0.9968,0.0189,-0.0063,0.0022,0.064,0.017,9.789
360,eyes_open,2665,2561,241,943,18,757,9,9,1.0079,0.0144,0.0115,-0.0204,0.122,-0.017,9.821
380,eyes_open,2630,2592,249,913,13,751,12,8,0.9918,-0.0092,0.0186,-0.0269,0.063,-0.049,9.79
400,eyes_open,2618,2584,237,912,16,769,14,12,0.9885,-0.039,-0.0029,-0.0196,-0.031,-0.026,9.853
420,eyes_open,2640,2632,243,900,14,733,9,14,0.9854,0.0027,-0.0254,0.007,0.038,-0.021,9.741
440,eyes_open,2605,2644,251,935,14,763,22,8,1.0032,0.0437,-0.0389,0.0275,0.065,0.016,9.827
460,eyes_open,2630,2660,248,904,16,795,11,21,0.9968,-0.006,0.0045,0.0335,0.121,0.025,9.847
480,eyes_open,2571,2664,235,895,12,764,10,18,0.9972,0.0018,-0.0253,-0.0052,0.092,0.044,9.779
500,eyes_open,2563,2668,244,879,15,777,11,17,0.9882,-0.0251,-0.0275,0.0053,0.08,0.093,9.84
