t_ms,activity,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
0,firm_eo,2699,2394,239,1184,13,832,15,9,0.9825,-0.0016,0.0171,-0.0168,-0.092,-0.059,9.758
20,firm_eo,2722,2408,247,1188,13,802,14,14,0.9918,0.0131,-0.0216,0.0275,-0.01,-0.04,9.832
40,firm_eo,2753,2368,243,1188,12,812,16,17,0.9948,-0.0053,-0.014,0.0203,-0.086,-0.039,9.876
60,firm_eo,2734,2363,236,1208,8,799,9,25,1.0065,0.0014,0.0119,-0.016,-0.115,-0.012,9.776
80,firm_eo,2795,2349,243,1186,7,799,7,10,1.0164,0.0088,-0.0023,0.0115,-0.044,-0.053,9.795
100,firm_eo,2750,2382,224,1218,16,763,11,18,0.9954,0.0066,-0.033,0.0238,-0.036,-0.042,9.873
120,firm_eo,2789,2336,244,1197,10,763,7,7,1.0236,-0.0183,-0.0149,0.0107,-0.094,-0.009,9.831
140,firm_eo,2822,2300,244,1177,7,752,17,13,0.9902,0.0171,-0.0171,-0.031,-0.102,-0.047,9.799
160,firm_eo,2820,2302,240,1203,9,750,10,18,1.0017,0.0157,0.0267,-0.0395,-0.091,-0.001,9.81
180,firm_eo,2805,2304,239,1185,17,754,10,14,0.9987,-0.0109,-0.0198,-0.008,-0.022,-0.048,9.831
200,firm_eo,2825,2289,253,1185,17,733,11,18,1.0116,-0.0199,0.0095,0.0069,-0.055,-0.071,9.829
220,firm_eo,2818,2322,237,1154,12,716,18,18,1.0077,0.0285,-0.0192,0.0012,-0.041,-0.116,9.784
240,firm_eo,2851,2285,242,1166,8,698,19,19,1.0101,0.0121,-0.0134,-0.0119,-0.107,-0.103,9.839
260,firm_eo,2875,2249,247,1176,7,654,20,18,0.9961,0.0136,0.0332,0.0066,-0.122,-0.06,9.79
280,firm_eo,2852,2247,242,1196,6,670,20,8,0.9984,-0.0015,0.0071,-0.0303,-0.021,-0.034,9.76
300,firm_eo,2864,2234,244,1131,8,660,14,12,0.9928,0.0332,-0.007,0.0488,-0.001,-0.087,9.853
