t_ms,mode,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
0,barefoot,2850,1913,42,21,11,20,12,8,1.0139,0.037,0.0443,-0.0448,-1.192,-1.17,9.183
20,barefoot,3101,2359,51,18,14,12,12,28,1.0036,0.0088,0.0015,0.0081,0.061,0.686,8.64
40,barefoot,3318,2671,82,15,6,13,13,20,0.9878,0.0364,0.0099,-0.0203,-0.33,-0.761,9.874
60,barefoot,3471,2951,151,16,12,19,6,16,0.989,-0.0177,0.0112,-0.0113,-1.03,-0.297,9.109
80,barefoot,3518,3052,277,19,3,16,23,14,1.0041,-0.0029,-0.0053,-0.0072,-0.399,1.986,10.59
100,barefoot,3463,3039,426,14,26,8,15,7,1.0004,-0.0232,0.004,0.0272,0.406,0.471,8.968
120,barefoot,3315,3022,715,20,12,9,21,1,1.0023,0.005,-0.0035,0.0081,0.669,-0.341,9.959
140,barefoot,3226,2985,965,16,14,19,14,13,0.9987,0.0205,-0.0382,0.0032,1.643,1.543,7.263
160,barefoot,2894,2668,1289,19,15,12,16,8,1.0043,0.0051,0.0352,-0.0165,-1.29,-0.351,9.496
180,barefoot,2434,2338,1498,28,25,22,14,18,0.9941,0.0154,0.0067,0.0021,-0.521,-0.54,9.711
200,barefoot,1738,2047,1706,32,49,32,22,15,1.0121,0.0195,0.0179,0.0021,0.87,0.392,9.835
220,barefoot,1081,1412,1870,71,97,20,8,6,1.0009,0.0292,-0.0279,-0.0035,0.027,1.122,9.324
240,barefoot,551,1019,2074,164,181,42,23,7,1.0043,0.0139,0.0446,0.0215,1.048,0.537,9.809
260,barefoot,232,535,2055,340,388,76,18,14,1.0012,0.0075,0.0197,-0.0069,-1.884,1.358,9.851
280,barefoot,92,260,2046,606,674,184,20,14,0.9984,0.0253,-0.0192,0.0185,0.69,1.048,9.875
300,barefoot,39,135,1938,940,1085,317,8,19,0.9856,0.0035,-0.04,0.0101,-0.081,1.046,11.074
320,barefoot,15,58,1701,1414,1408,598,9,18,0.9974,-0.0028,-0.007,-0.0052,0.104,0.236,9.519
340,barefoot,21,27,1530,1909,1822,843,25,10,1.009,-0.035,0.0038,-0.0547,0.954,-0.247,10.589
360,barefoot,20,19,1233,2091,2115,1083,47,12,1.0176,-0.0134,0.0049,0.0065,-0.286,-0.557,11.072
380,barefoot,8,21,897,2501,2323,1361,108,23,1.014,0.0241,0.0107,0.0082,-1.622,-0.074,10.748
400,barefoot,11,9,627,2614,2403,1658,220,54,0.9991,-0.0236,-0.0137,-0.0153,-0.586,-0.479,10.324
420,barefoot,19,1,419,2654,2422,1733,506,98,0.9851,-0.0247,0.001,0.0099,-1.324,-0.207,10.296
440,barefoot,11,12,248,2582,2269,1804,847,227,1.0112,-0.0141,0.0077,0.0021,2.419,-1.378,10.985
460,barefoot,12,14,146,2537,2132,1766,1175,400,0.9971,-0.0132,0.032,-0.0072,-2.207,-1.496,11.047
480,barefoot,20,15,81,2270,1879,1608,1599,713,0.9953,-0.0198,-0.0072,0.0051,0.531,2.105,9.354
500,barefoot,19,13,41,2033,1440,1393,1878,906,1.0102,-0.0246,-0.0053,0.0094,-1.557,1.269,9.76
520,barefoot,21,8,24,1564,1111,1040,2080,1237,0.9922,-0.027,-0.0172,0.0047,0.661,0.084,11.212
540,barefoot,10,14,21,1058,646,712,2261,1507,1.002,-0.0207,-0.0064,0.001,-0.878,0.763,10.242
560,barefoot,23,25,21,697,375,533,2185,1631,0.9832,0.0054,0.0117,0.027,-1.944,0.622,8.793
580,barefoot,2,12,16,393,189,269,1990,1527,0.9893,-0.0045,0.0303,0.0215,-0.608,-0.056,9.996
600,barefoot,16,17,23,206,95,144,1769,1529,1.0177,-0.0095,-0.0208,0.0207,0.966,-0.945,10.556
620,barefoot,16,9,11,84,41,61,1361,1311,1.0097,-0.0064,-0.0212,-0.0012,1.925,0.912,10.326
640,barefoot,10,12,20,48,18,24,1063,1170,1.0022,-0.0018,0.0097,0.0134,2.188,0.426,9.931
660,barefoot,7,13,16,30,17,26,631,813,1.0019,0.0097,-0.0056,-0.053,2.638,-0.891,9.718
680,barefoot,14,18,18,25,18,16,358,435,0.9938,0.0007,0.0168,0.0301,0.304,0.537,9.592
700,barefoot,17,15,23,24,17,5,10,19,1.0065,0.0024,-0.0035,-0.0136,0.728,-0.158,8.831
720,barefoot,10,13,15,18,25,14,10,12,1.0122,0.0067,0.003,-0.0014,0.42,1.745,10.308
740,barefoot,16,16,13,18,12,21,4,8,1.0043,-0.0213,0.0051,0.0006,0.061,-1.896,10.18
760,barefoot,16,11,14,16,13,16,14,14,0.9991,-0.0115,0.002,-0.0088,-0.727,0.39,9.207
780,barefoot,12,23,12,16,20,19,19,19,1.0033,-0.0066,0.0212,0.0048,-0.19,-0.742,9.171
