t_ms,mode,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
0,shoe,3286,1983,27,15,20,8,21,13,0.9974,0.0138,0.0103,-0.0285,1.116,-0.354,9.633
20,shoe,3523,2422,44,9,7,15,20,12,0.9937,-0.0029,-0.0274,-0.019,0.953,-1.336,9.827
40,shoe,3697,2804,69,13,16,16,5,19,1.0022,-0.0014,-0.0022,0.0342,-1.706,0.249,9.681
60,shoe,3717,2989,102,15,10,18,13,7,0.987,0.0098,-0.0255,0.0041,0.637,0.618,9.266
80,shoe,3747,3077,210,19,12,14,12,13,0.9993,-0.0046,0.0132,0.0215,0.05,0.585,9.912
100,shoe,3732,3147,332,13,16,11,6,21,1.0182,-0.0221,-0.034,0.0057,0.267,-0.025,10.689
120,shoe,3694,3100,519,15,17,15,15,14,1.009,-0.0234,0.0143,-0.0029,-0.99,0.936,9.279
140,shoe,3525,3062,719,29,14,7,17,16,0.9993,0.0074,0.0207,0.0321,-0.558,0.357,9.474
160,shoe,3360,2829,993,15,13,2,14,13,1.0145,-0.0152,0.0109,-0.0018,-1.079,0.734,10.145
180,shoe,2956,2460,1285,21,23,7,16,16,0.9958,-0.016,0.0253,0.017,0.063,0.303,9.148
200,shoe,2386,2105,1418,26,34,25,23,18,1.0076,-0.0122,0.0308,0.0062,-0.285,0.029,10.591
220,shoe,1597,1601,1662,65,90,26,12,13,1.0025,0.0153,-0.0067,-0.0125,2.07,-0.576,10.446
240,shoe,922,1052,1653,135,156,45,20,15,0.9953,-0.0412,-0.0106,-0.0093,0.773,-2.005,7.778
260,shoe,435,573,1736,284,325,68,25,16,1.0044,-0.0487,-0.0103,0.0127,-1.937,0.495,9.236
280,shoe,159,291,1742,538,591,119,0,5,1.0226,0.0051,-0.0009,-0.0071,0.511,-0.084,8.858
300,shoe,58,132,1614,893,946,250,14,19,0.9911,-0.0031,-0.005,0.0258,1.762,1.519,10.553
320,shoe,22,62,1455,1309,1367,452,23,24,0.9909,0.0311,-0.0054,-0.0066,0.346,-1.508,10.652
340,shoe,16,19,1218,1720,1544,586,25,19,1.0161,-0.0051,0.0344,0.0135,1.336,0.645,8.754
360,shoe,14,21,944,1938,1904,871,37,19,0.9932,-0.0286,0.0007,0.0016,-0.042,-0.72,9.209
380,shoe,17,7,692,2242,2046,1114,97,22,0.9984,0.0065,-0.0096,-0.0016,0.867,0.001,9.747
400,shoe,10,18,549,2355,2243,1347,198,41,0.9951,0.0072,0.0296,0.0098,-1.151,-0.671,9.49
420,shoe,7,18,323,2493,2178,1523,378,84,0.9922,0.0079,-0.0238,-0.0057,0.968,0.27,10.457
440,shoe,6,3,157,2431,2161,1508,649,163,1.0043,0.008,-0.0022,-0.0126,-1.696,-0.019,10.688
460,shoe,20,16,120,2328,1900,1479,1066,299,0.9897,0.0445,0.0105,-0.0121,1.59,0.672,10.344
480,shoe,8,15,54,2162,1545,1294,1413,475,0.9894,-0.0063,0.0126,0.0045,-1.862,0.115,10.788
500,shoe,12,11,38,1830,1271,971,1726,729,0.9971,0.0087,-0.0266,0.0041,-2.603,0.368,10.65
520,shoe,8,19,18,1387,932,832,1927,1023,1.0049,-0.0002,-0.0288,0.024,0.653,0.976,9.756
540,shoe,18,24,18,1031,581,595,2053,1160,1.0136,-0.034,-0.0257,0.0072,-0.212,0.399,9.433
560,shoe,11,16,20,617,332,366,1983,1242,0.9993,-0.0237,-0.0178,0.0171,0.14,-0.098,9.164
580,shoe,20,8,17,336,159,188,1843,1318,1.0085,-0.0179,0.023,0.0187,0.526,0.948,10.546
600,shoe,10,7,10,173,77,101,1557,1240,1.013,-0.006,-0.0028,-0.0026,-0.034,-0.082,10.61
620,shoe,15,8,11,87,36,60,1262,991,1.0041,-0.0241,0.006,0.0221,-1.089,0.315,10.721
640,shoe,18,9,19,31,13,33,826,775,1.0078,0.0288,-0.0182,-0.0106,0.26,-0.24,9.529
