t_ms,activity,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6,fsr7,qw,qx,qy,qz,ax,ay,az
0,seated_bounce,615,534,219,2127,2521,1709,1813,1087,0.9997,0.0086,-0.0012,0.0303,0.096,0.056,9.81
20,seated_bounce,561,574,187,2590,2848,2104,2391,1471,0.9888,0.0134,-0.0265,0.0028,-0.037,0.053,10.327
40,seated_bounce,528,508,188,2791,3047,2444,2570,1755,0.9821,0.0154,-0.0293,0.0199,0.02,-0.038,10.781
60,seated_bounce,561,528,189,2974,3217,2538,2697,1796,1.0065,0.025,0.0151,-0.0025,0.039,0.102,11.115
80,seated_bounce,572,552,200,2988,3298,2597,2726,1918,0.9792,-0.0021,0.023,-0.0292,-0.066,0.019,11.29
100,seated_bounce,530,561,211,2984,3251,2609,2770,1895,1.0057,0.0093,-0.0052,-0.0091,-0.047,-0.019,11.283
120,seated_bounce,598,529,196,2882,3221,2531,2736,1794,0.9887,0.021,0.0059,-0.0137,0.018,-0.043,11.096
140,seated_bounce,582,510,182,2794,3072,2367,2648,1671,1.0054,-0.0146,0.0126,0.0147,-0.067,0.033,10.752
160,seated_bounce,591,556,199,2478,2844,1995,2232,1406,1.0247,-0.0149,0.0005,0.0267,0.021,0.02,10.291
180,seated_bounce,549,550,181,2083,2568,1665,1876,1083,0.9863,0.0052,0.0033,-0.0446,-0.024,0.05,9.772
200,seated_bounce,531,518,202,1480,1912,1018,1343,688,1.0022,-0.0091,-0.0112,-0.0229,0.082,-0.087,9.258
220,seated_bounce,548,534,196,837,1059,542,689,322,0.9958,0.0299,-0.0181,-0.0266,0.014,0.034,8.811
240,seated_bounce,558,562,196,260,334,155,215,100,0.9944,-0.0048,-0.012,0.0033,-0.011,0.088,8.487
260,seated_bounce,533,554,190,21,24,14,31,18,1.0078,-0.0154,0.0234,-0.0013,0.058,0.012,8.324
280,seated_bounce,553,520,193,52,65,28,31,18,1.0177,-0.0214,0.0133,-0.0091,0.072,0.009,8.344
300,seated_bounce,568,534,186,372,511,216,284,137,1.0116,0.0042,0.0065,0.044,-0.105,0.11,8.544
320,seated_bounce,516,536,202,1007,1253,616,748,394,0.9976,-0.0129,-0.0073,0.0278,-0.049,0.031,8.898
340,seated_bounce,526,564,203,1692,2070,1225,1425,800,0.9996,-0.0148,-0.0368,0.022,-0.054,-0.086,9.364
360,seated_bounce,557,533,198,2262,2593,1707,1952,1162,1.0101,-0.0005,0.0055,0.004,0.001,0.121,9.885
380,seated_bounce,564,540,193,2598,2888,2134,2374,1455,1.0079,-0.021,0.0341,-0.0254,0.049,0.032,10.397
400,seated_bounce,571,524,194,2855,3111,2374,2601,1762,0.9887,0.0251,-0.0325,0.0458,-0.052,-0.001,10.837
420,seated_bounce,593,548,191,2982,3255,2473,2726,1931,1.0021,0.0108,0.0059,0.0286,0.095,0.01,11.151
440,seated_bounce,563,510,192,2975,3263,2591,2791,1906,0.9995,0.0538,0.0183,0.0025,0.075,-0.087,11.3
460,seated_bounce,555,542,193,2997,3253,2511,2778,1991,0.992,-0.0202,0.0394,-0.0146,0.02,0.072,11.267
480,seated_bounce,583,548,189,2934,3253,2506,2695,1860,1.0034,0.0038,0.0088,0.0211,-0.009,0.017,11.056
500,seated_bounce,592,554,212,2741,3110,2298,2553,1568,1.0005,0.0075,-0.0018,-0.0328,-0.041,-0.087,10.692
520,seated_bounce,573,532,197,2454,2750,1983,2253,1354,0.9892,-0.0359,-0.0089,-0.0162,-0.009,0.026,10.219
540,seated_bounce,548,527,211,2067,2341,1616,1789,1028,1.0103,0.0057,0.0058,-0.0146,-0.08,-0.014,9.697
560,seated_bounce,530,532,190,1509,1814,1062,1228,612,1.0073,-0.0021,-0.0151,-0.0263,0.066,0.041,9.188
